_id,province_id,province,amphoe_id,area_id,amphoe,romanized_amphoe,amphoe_short,romanized_amphoe_short
74,14,พระนครศรีอยุธยา,1405,14050000,อำเภอบางบาล,Amphoe Bang Ban,บางบาล,Bang Ban
75,14,พระนครศรีอยุธยา,1406,14060000,อำเภอบางปะอิน,Amphoe Bang Pa-in,บางปะอิน,Bang Pa-in
76,14,พระนครศรีอยุธยา,1407,14070000,อำเภอบางปะหัน,Amphoe Bang Pahan,บางปะหัน,Bang Pahan
77,14,พระนครศรีอยุธยา,1408,14080000,อำเภอผักไห่,Amphoe Phak Hai,ผักไห่,Phak Hai
78,14,พระนครศรีอยุธยา,1409,14090000,อำเภอภาชี,Amphoe Phachi,ภาชี,Phachi
79,14,พระนครศรีอยุธยา,1410,14100000,อำเภอลาดบัวหลวง,Amphoe Lat Bua Luang,ลาดบัวหลวง,Lat Bua Luang
80,14,พระนครศรีอยุธยา,1411,14110000,อำเภอวังน้อย,Amphoe Wang Noi,วังน้อย,Wang Noi
81,14,พระนครศรีอยุธยา,1412,14120000,อำเภอเสนา,Amphoe Sena,เสนา,Sena
82,14,พระนครศรีอยุธยา,1413,14130000,อำเภอบางซ้าย,Amphoe Bang Sai,บางซ้าย,Bang Sai
83,14,พระนครศรีอยุธยา,1414,14140000,อำเภออุทัย,Amphoe Uthai,อุทัย,Uthai
84,14,พระนครศรีอยุธยา,1415,14150000,อำเภอมหาราช,Amphoe Maha Rat,มหาราช,Maha Rat
85,14,พระนครศรีอยุธยา,1416,14160000,อำเภอบ้านแพรก,Amphoe Ban Phraek,บ้านแพรก,Ban Phraek
86,15,อ่างทอง,1501,15010000,อำเภอเมืองอ่างทอง,Amphoe Mueang Ang Thong,เมืองอ่างทอง,Mueang Ang Thong
87,15,อ่างทอง,1502,15020000,อำเภอไชโย,Amphoe Chaiyo,ไชโย,Chaiyo
88,15,อ่างทอง,1503,15030000,อำเภอป่าโมก,Amphoe Pa Mok,ป่าโมก,Pa Mok
89,15,อ่างทอง,1504,15040000,อำเภอโพธิ์ทอง,Amphoe Pho Thong,โพธิ์ทอง,Pho Thong
90,15,อ่างทอง,1505,15050000,อำเภอแสวงหา,Amphoe Sawaeng Ha,แสวงหา,Sawaeng Ha
91,15,อ่างทอง,1506,15060000,อำเภอวิเศษชัยชาญ,Amphoe Wiset Chai Chan,วิเศษชัยชาญ,Wiset Chai Chan
92,15,อ่างทอง,1507,15070000,อำเภอสามโก้,Amphoe Samko,สามโก้,Samko
93,16,ลพบุรี,1601,16010000,อำเภอเมืองลพบุรี,Amphoe Mueang Lop Buri,เมืองลพบุรี,Mueang Lop Buri
94,16,ลพบุรี,1602,16020000,อำเภอพัฒนานิคม,Amphoe Phatthana Nikhom,พัฒนานิคม,Phatthana Nikhom
95,16,ลพบุรี,1603,16030000,อำเภอโคกสำโรง,Amphoe Khok Samrong,โคกสำโรง,Khok Samrong
96,16,ลพบุรี,1604,16040000,อำเภอชัยบาดาล,Amphoe Chai Badan,ชัยบาดาล,Chai Badan
97,16,ลพบุรี,1605,16050000,อำเภอท่าวุ้ง,Amphoe Tha Wung,ท่าวุ้ง,Tha Wung
98,16,ลพบุรี,1606,16060000,อำเภอบ้านหมี่,Amphoe Ban Mi,บ้านหมี่,Ban Mi
99,16,ลพบุรี,1607,16070000,อำเภอท่าหลวง,Amphoe Tha Luang,ท่าหลวง,Tha Luang
100,16,ลพบุรี,1608,16080000,อำเภอสระโบสถ์,Amphoe Sa Bot,สระโบสถ์,Sa Bot
101,16,ลพบุรี,1609,16090000,อำเภอโคกเจริญ,Amphoe Khok Charoen,โคกเจริญ,Khok Charoen
102,16,ลพบุรี,1610,16100000,อำเภอลำสนธิ,Amphoe Lam Sonthi,ลำสนธิ,Lam Sonthi
103,16,ลพบุรี,1611,16110000,อำเภอหนองม่วง,Amphoe Nong Muang,หนองม่วง,Nong Muang
104,17,สิงห์บุรี,1701,17010000,อำเภอเมืองสิงห์บุรี,Amphoe Mueang Sing Buri,เมืองสิงห์บุรี,Mueang Sing Buri
105,17,สิงห์บุรี,1702,17020000,อำเภอบางระจัน,Amphoe Bang Rachan,บางระจัน,Bang Rachan
106,17,สิงห์บุรี,1703,17030000,อำเภอค่ายบางระจัน,Amphoe Khai Bang Rachan,ค่ายบางระจัน,Khai Bang Rachan
107,17,สิงห์บุรี,1704,17040000,อำเภอพรหมบุรี,Amphoe Phrom Buri,พรหมบุรี,Phrom Buri
108,17,สิงห์บุรี,1705,17050000,อำเภอท่าช้าง,Amphoe Tha Chang,ท่าช้าง,Tha Chang
109,17,สิงห์บุรี,1706,17060000,อำเภออินทร์บุรี,Amphoe In Buri,อินทร์บุรี,In Buri
110,18,ชัยนาท,1801,18010000,อำเภอเมืองชัยนาท,Amphoe Mueang Chai Nat,เมืองชัยนาท,Mueang Chai Nat
111,18,ชัยนาท,1802,18020000,อำเภอมโนรมย์,Amphoe Manorom,มโนรมย์,Manorom
112,18,ชัยนาท,1803,18030000,อำเภอวัดสิงห์,Amphoe Wat Sing,วัดสิงห์,Wat Sing
113,18,ชัยนาท,1804,18040000,อำเภอสรรพยา,Amphoe Sapphaya,สรรพยา,Sapphaya
114,18,ชัยนาท,1805,18050000,อำเภอสรรคบุรี,Amphoe Sankhaburi,สรรคบุรี,Sankhaburi
115,18,ชัยนาท,1806,18060000,อำเภอหันคา,Amphoe Hankha,หันคา,Hankha
116,18,ชัยนาท,1807,18070000,อำเภอหนองมะโมง,Amphoe Nong Mamong,หนองมะโมง,Nong Mamong
117,18,ชัยนาท,1808,18080000,อำเภอเนินขาม,Amphoe Noen Kham,เนินขาม,Noen Kham
118,19,สระบุรี,1901,19010000,อำเภอเมืองสระบุรี,Amphoe Mueang Saraburi,เมืองสระบุรี,Mueang Saraburi
119,19,สระบุรี,1902,19020000,อำเภอแก่งคอย,Amphoe Kaeng Khoi,แก่งคอย,Kaeng Khoi
120,19,สระบุรี,1903,19030000,อำเภอหนองแค,Amphoe Nong Khae,หนองแค,Nong Khae
121,19,สระบุรี,1904,19040000,อำเภอวิหารแดง,Amphoe Wihan Daeng,วิหารแดง,Wihan Daeng
122,19,สระบุรี,1905,19050000,อำเภอหนองแซง,Amphoe Nong Saeng,หนองแซง,Nong Saeng
123,19,สระบุรี,1906,19060000,อำเภอบ้านหมอ,Amphoe Ban Mo,บ้านหมอ,Ban Mo
124,19,สระบุรี,1907,19070000,อำเภอดอนพุด,Amphoe Don Phut,ดอนพุด,Don Phut
125,19,สระบุรี,1908,19080000,อำเภอหนองโดน,Amphoe Nong Don,หนองโดน,Nong Don
126,19,สระบุรี,1909,19090000,อำเภอพระพุทธบาท,Amphoe Phra Phutthabat,พระพุทธบาท,Phra Phutthabat
127,19,สระบุรี,1910,19100000,อำเภอเสาไห้,Amphoe Sao Hai,เสาไห้,Sao Hai
128,19,สระบุรี,1911,19110000,อำเภอมวกเหล็ก,Amphoe Muak Lek,มวกเหล็ก,Muak Lek
129,19,สระบุรี,1912,19120000,อำเภอวังม่วง,Amphoe Wang Muang,วังม่วง,Wang Muang
130,19,สระบุรี,1913,19130000,อำเภอเฉลิมพระเกียติ,Amphoe Chaloem Phra Kiat,เฉลิมพระเกียรติ,Chaloem Phra Kiat
131,20,ชลบุรี,2001,20010000,อำเภอเมืองชลบุรี,Amphoe Mueang Chon Buri,เมืองชลบุรี,Mueang Chon Buri
132,20,ชลบุรี,2002,20020000,อำเภอบ้านบึง,Amphoe Ban Bueng,บ้านบึง,Ban Bueng
133,20,ชลบุรี,2003,20030000,อำเภอหนองใหญ่,Amphoe Nong Yai,หนองใหญ่,Nong Yai
134,20,ชลบุรี,2004,20040000,อำเภอบางละมุง,Amphoe Bang Lamung,บางละมุง,Bang Lamung
135,20,ชลบุรี,2005,20050000,อำเภอพานทอง,Amphoe Phan Thong,พานทอง,Phan Thong
136,20,ชลบุรี,2006,20060000,อำเภอพนัสนิคม,Amphoe Phanat Nikhom,พนัสนิคม,Phanat Nikhom
137,20,ชลบุรี,2007,20070000,อำเภอศรีราชา,Amphoe Si Racha,ศรีราชา,Si Racha
138,20,ชลบุรี,2008,20080000,อำเภอเกาะสีชัง,Amphoe Ko Si  Chang,เกาะสีชัง,Ko Si  Chang
139,20,ชลบุรี,2009,20090000,อำเภอสัตหีบ,Amphoe Sattahip,สัตหีบ,Sattahip
140,20,ชลบุรี,2010,20100000,อำเภอบ่อทอง,Amphoe Bo Thong,บ่อทอง,Bo Thong
141,20,ชลบุรี,2011,20110000,อำเภอเกาะจันทร์,Amphoe Ko Chan,เกาะจันทร์,Ko Chan
